State,Year,Salary,Source,Note
South Dakota,14,40023,NEA,
South Dakota,15,40934,NEA,est
South Dakota,16,42025,NEA,est
Tennessee,11,45891,NEA,
Tennessee,12,47082,NEA,
Tennessee,13,47563,NEA,
Tennessee,14,47742,NEA,
Tennessee,15,47979,NEA,est
Tennessee,16,48708,NEA,est
Texas,11,48638,NEA,
Texas,12,48373,NEA,
Texas,13,48819,NEA,
Texas,14,49690,NEA,
Texas,15,50713,NEA,est
Texas,16,51758,NEA,est
Utah,11,45329,NEA,
Utah,12,45432,NEA,
Utah,13,45543,NEA,
Utah,14,45695,NEA,
Utah,15,45848,NEA,est
Utah,16,46042,NEA,est
Vermont,11,51372,NEA,
Vermont,12,53896,NEA,
Vermont,13,53735,NEA,
Vermont,14,55958,NEA,
Vermont,15,57642,NEA,est
Vermont,16,58901,NEA,est
Virginia,11,47564,NEA,
Virginia,12,48114,NEA,
Virginia,13,48988,NEA,
Virginia,14,49786,NEA,est
Virginia,15,50620,NEA,est
Virginia,16,50834,NEA,est
Washington,11,52926,NEA,
Washington,12,52232,NEA,
Washington,13,52234,NEA,
Washington,14,52969,NEA,
Washington,15,52502,NEA,est
Washington,16,52539,NEA,est
West Virginia,11,44260,NEA,
West Virginia,12,45399,NEA,
West Virginia,13,45453,NEA,
West Virginia,14,45086,NEA,
West Virginia,15,45783,NEA,est
West Virginia,16,45977,NEA,est
Wisconsin,11,54207,NEA,
Wisconsin,12,53792,NEA,
Wisconsin,13,53797,NEA,
Wisconsin,14,53679,NEA,
Wisconsin,15,54535,NEA,est
Wisconsin,16,54766,NEA,est
Wyoming,11,56100,NEA,
Wyoming,12,56774,NEA,
Wyoming,13,56775,NEA,
Wyoming,14,56583,NEA,
Wyoming,15,57414,NEA,est
Wyoming,16,57761,NEA,est
