LEAID,AGCHRT,SHYEAR,LAT,LON
1600490,2,2002-03,43.6383,-113.3055
1600600,2,2004-05,43.6234,-116.6804
1600780,2,2002-03,47.6979,-116.8057
1600930,2,2002-03,43.5276,-111.9641
1600960,2,2012-13,42.092,-111.8734
1601020,2,2010-11,43.8728,-116.4832
1602100,2,2002-03,43.5952,-116.3784
1602190,2,2005-06,42.6218,-113.671
1602220,2,2002-03,46.7401,-116.9831
1602250,2,2002-03,43.1347,-115.6946
1602340,2,2002-03,43.5633,-116.578
1602640,2,2002-03,42.8908,-112.4663
1602850,2,2004-05,45.1712,-113.8905
1602970,2,2002-03,43.182,-112.4748
1700110,2,2012-13,42.323,-87.8562
1705310,2,2009-10,40.0084,-90.4225
1708040,2,2002-03,38.5633,-90.157
1708550,2,2007-08,42.1086,-88.2748
1709930,2,2002-03,41.8804,-87.6308
1711850,2,2002-03,39.8468,-88.956
1713320,2,2002-03,38.6243,-90.1499
1713530,2,2002-03,38.8108,-89.9643
1720280,2,2011-12,39.7356,-90.2355
1728620,2,2009-10,40.5024,-89.0213
1731230,2,2010-11,40.7265,-89.584
1734510,2,2009-10,42.2621,-89.0815
1737080,2,2002-03,39.7996,-89.6855
1740200,2,2004-05,38.661,-90.1677
1803270,2,2005-06,41.6954,-86.017
1900023,2,2004-05,42.8742,-95.1493
1900025,2,2007-08,41.6916,-94.3743
1908580,2,2005-06,41.5362,-90.5741
1908970,2,2010-11,41.5853,-93.629
1909480,2,2006-07,42.5112,-90.7062
1913660,2,2006-07,43.1799,-95.4735
1914280,2,2005-06,43.3735,-92.103
1926280,2,2007-08,41.3248,-92.208
1927390,2,2004-05,42.6421,-95.2008
1930870,2,2005-06,42.7702,-91.8804
1999019,2,2004-05,42.3435,-94.1058
2000002,2,2005-06,38.5724,-97.6764
2003180,2,2009-10,38.9171,-97.2154
2003780,2,2002-03,39.1292,-94.9386
2004410,2,2009-10,37.0177,-95.9262
2004590,2,2002-03,37.6458,-95.451
2005010,2,2005-06,39.396,-101.052
