LEAID,SHYEAR,AGCHRT,LAT,LON
2600225,1999-00,1,42.165867,-83.319762
2600226,1999-00,1,NA,NA
2600227,1999-00,1,42.33231,-83.11948
2600228,1999-00,1,42.333579,-83.27677
2600229,1999-00,1,42.3793,-83.135451
2600230,1999-00,1,42.43861,-83.26878
2600231,1999-00,1,NA,NA
2600232,1999-00,1,42.351557,-83.037805
2600233,1999-00,1,NA,NA
2600234,1999-00,1,42.430201,-83.180891
2600235,1999-00,1,42.35547,-83.0241
2600236,1999-00,1,NA,NA
2600237,1999-00,1,42.328316,-83.145097
2600239,1999-00,1,42.42885,-83.25619
2600240,1999-00,1,NA,NA
2600241,1999-00,1,42.364083,-83.119357
2600242,1999-00,1,42.41575,-83.2595
2600243,1999-00,1,42.33474,-83.11648
2600244,1999-00,1,42.4014,-83.1355
2600245,1999-00,1,42.284578,-83.282295
2600246,1999-00,1,NA,NA
2600247,1999-00,1,NA,NA
2600248,1999-00,1,42.241626,-83.606684
2600249,1999-00,1,42.4067,-83.10215
2600250,1999-00,1,42.25104,-84.94073
2600251,1999-00,1,42.99263,-83.628115
2600252,1999-00,1,42.955208,-85.661855
2600253,1999-00,1,NA,NA
2600254,1999-00,1,42.676009,-83.273843
2600255,1999-00,1,42.32225,-83.168271
2600256,1999-00,1,NA,NA
2600257,1999-00,1,42.628684,-82.587392
2600258,1999-00,1,NA,NA
2600259,1999-00,1,NA,NA
2600260,1999-00,1,NA,NA
2600261,1999-00,1,NA,NA
2600262,1999-00,1,42.25215,-83.38167
2600263,1999-00,1,42.322516,-83.52379
2700027,1999-00,1,44.968515,-93.248848
2700028,1999-00,1,44.97509,-93.162031
2700029,1999-00,1,NA,NA
2700092,1999-00,1,44.52857,-93.910981
2700093,1999-00,1,45.233846,-93.451181
2700095,1999-00,1,NA,NA
2700096,1999-00,1,45.137658,-93.337489
2700097,1999-00,1,NA,NA
2700114,1999-00,1,NA,NA
2700115,1999-00,1,44.97391,-93.08062
2700116,1999-00,1,44.819222,-93.608243
2700117,1999-00,1,44.950817,-93.234764
2700118,1999-00,1,44.969699,-93.009095
2700119,1999-00,1,NA,NA
2700133,1999-00,1,46.825933,-92.132491
2700134,1999-00,1,NA,NA
2700135,1999-00,1,NA,NA
2700136,1999-00,1,NA,NA
2700137,1999-00,1,NA,NA
2700138,1999-00,1,44.918253,-93.156807
2700139,1999-00,1,44.6179,-95.4101
2700140,1999-00,1,44.948114,-93.157376
2700141,1999-00,1,NA,NA
2700142,1999-00,1,44.958269,-93.1113
2700151,1999-00,1,45.067593,-93.340205
2700152,1999-00,1,44.96503,-93.199617
2700153,1999-00,1,44.984897,-93.297074
2700154,1999-00,1,NA,NA
2700155,1999-00,1,NA,NA
2700156,1999-00,1,44.975694,-93.061307
2700157,1999-00,1,44.97639,-93.06601
2700158,1999-00,1,NA,NA
2700159,1999-00,1,45.024541,-93.294018
2700160,1999-00,1,44.955617,-93.149551
2700164,1999-00,1,NA,NA
2700165,1999-00,1,NA,NA
2700166,1999-00,1,44.9598,-93.0651
2700167,1999-00,1,44.912893,-92.935844
2700168,1999-00,1,NA,NA
2700169,1999-00,1,NA,NA
2700170,1999-00,1,NA,NA
2700171,1999-00,1,NA,NA
2700172,1999-00,1,NA,NA
2700173,1999-00,1,45.177264,-93.308733
2700174,1999-00,1,44.44374,-94.396152
2700175,1999-00,1,NA,NA
2700176,1999-00,1,NA,NA
2700177,1999-00,1,45.27549,-93.003951
2700178,1999-00,1,43.828787,-91.306439
2700179,1999-00,1,44.3394,-93.0688
